,IMEI_Number,Phone_Number,Called_Numbers,Type,Call_Start_Time,Call_End_Time,Location
105,456431013543810,+91-9457614681,+91-985-550-6742,INCOMING,2020-03-06 04:35:23,2020-03-06 04:37:45,"(28.829659, 78.715692)"
106,250777406762377,+91-9457614681,+91-855-571-6375,OUTGOING,2020-02-15 18:08:56,2020-02-15 18:37:44,"(28.881342, 78.581894)"
107,250777406762377,+91-9457614681,+91-915-550-2853,INCOMING,2020-02-11 19:23:10,2020-02-11 19:39:13,"(28.829659, 78.715692)"
108,250777406762377,+91-9457614681,+91-925-558-9205,OUTGOING,2020-02-20 10:40:12,2020-02-20 10:56:01,"(28.892516, 78.725159)"
109,604775855254246,+91-9457614681,+91-855-562-3450,INCOMING,2020-01-22 04:29:34,2020-01-22 04:31:52,"(28.892516, 78.725159)"
110,456431013543810,+91-9457614681,+91-905-559-4634,INCOMING,2020-01-13 05:57:20,2020-01-13 06:36:03,"(28.696474, 78.660419)"
111,250777406762377,+91-9457614681,+91-855-551-1010,INCOMING,2020-02-19 10:01:12,2020-02-19 10:37:08,"(28.696474, 78.660419)"
112,456431013543810,+91-9457614681,+91-755-501-4234,OUTGOING,2020-02-03 20:43:02,2020-02-03 21:37:33,"(28.792365, 78.756622)"
113,250777406762377,+91-9457614681,+91-925-556-9078,INCOMING,2020-01-27 15:49:41,2020-01-27 16:45:41,"(28.792365, 78.756622)"
114,456431013543810,+91-9457614681,+91-855-500-0203,INCOMING,2020-01-02 12:45:43,2020-01-02 13:39:23,"(28.847369, 78.758552)"
115,250777406762377,+91-9457614681,+91-855-583-2582,OUTGOING,2020-01-28 04:37:30,2020-01-28 05:14:51,"(28.696474, 78.660419)"
116,604775855254246,+91-9457614681,+91-755-541-9099,INCOMING,2020-03-07 02:39:57,2020-03-07 03:07:11,"(28.792365, 78.756622)"
117,250777406762377,+91-9457614681,+91-855-518-6589,OUTGOING,2020-03-22 06:16:33,2020-03-22 06:46:11,"(28.792365, 78.756622)"
118,456431013543810,+91-9457614681,+91-755-564-5265,INCOMING,2020-01-05 02:34:56,2020-01-05 03:21:24,"(28.847369, 78.758552)"
119,456431013543810,+91-9457614681,+91-855-556-8994,INCOMING,2020-01-18 12:20:31,2020-01-18 12:47:16,"(28.847369, 78.758552)"
120,604775855254246,+91-9457614681,+91-855-579-5317,INCOMING,2020-03-08 08:34:28,2020-03-08 09:13:05,"(28.847369, 78.758552)"
121,250777406762377,+91-9457614681,+91-855-569-0253,OUTGOING,2020-02-26 03:15:21,2020-02-26 03:15:28,"(28.696474, 78.660419)"
122,604775855254246,+91-9457614681,+91-925-558-9205,INCOMING,2020-01-04 06:55:19,2020-01-04 07:03:49,"(28.829659, 78.715692)"
123,456431013543810,+91-9457614681,+91-855-538-1344,INCOMING,2020-01-18 13:23:54,2020-01-18 14:19:43,"(28.847369, 78.758552)"
124,456431013543810,+91-9457614681,+91-755-564-5265,OUTGOING,2020-02-19 04:35:33,2020-02-19 04:57:58,"(28.847369, 78.758552)"
125,604775855254246,+91-9457614681,+91-855-502-2503,INCOMING,2020-02-15 19:34:14,2020-02-15 20:02:49,"(28.696474, 78.660419)"
126,456431013543810,+91-9457614681,+91-925-556-9078,INCOMING,2020-01-07 05:24:50,2020-01-07 05:59:54,"(28.881342, 78.581894)"
127,250777406762377,+91-9457614681,+91-855-591-9650,INCOMING,2020-03-23 06:43:42,2020-03-23 07:16:34,"(28.881342, 78.581894)"
128,604775855254246,+91-9457614681,+91-985-556-8744,INCOMING,2020-02-28 23:08:12,2020-02-28 23:30:07,"(28.847369, 78.758552)"
129,604775855254246,+91-9457614681,+91-755-501-4234,OUTGOING,2020-01-24 17:57:49,2020-01-24 18:16:14,"(28.847369, 78.758552)"
130,604775855254246,+91-9457614681,+91-755-501-4234,INCOMING,2020-01-22 18:25:24,2020-01-22 19:05:09,"(28.829659, 78.715692)"
131,456431013543810,+91-9457614681,+91-855-526-2805,INCOMING,2020-01-24 11:12:03,2020-01-24 11:55:42,"(28.881342, 78.581894)"
132,250777406762377,+91-9457614681,+91-755-576-3516,OUTGOING,2020-02-15 14:43:58,2020-02-15 15:18:19,"(28.792365, 78.756622)"
133,456431013543810,+91-9457614681,+91-855-553-2320,INCOMING,2020-01-04 05:40:54,2020-01-04 06:40:12,"(28.829659, 78.715692)"
134,250777406762377,+91-9457614681,+91-855-509-2252,OUTGOING,2020-03-14 09:19:53,2020-03-14 10:03:51,"(28.829659, 78.715692)"
135,456431013543810,+91-9457614681,+91-755-597-3583,INCOMING,2020-03-01 09:01:46,2020-03-01 09:59:06,"(28.829659, 78.715692)"
136,604775855254246,+91-9457614681,+91-755-522-9356,OUTGOING,2020-01-16 18:56:43,2020-01-16 19:26:49,"(28.829659, 78.715692)"
137,250777406762377,+91-9457614681,+91-855-500-0203,INCOMING,2020-02-21 22:20:17,2020-02-21 22:57:41,"(28.829659, 78.715692)"
138,250777406762377,+91-9457614681,+91-755-572-0382,OUTGOING,2020-02-08 22:04:24,2020-02-08 22:31:08,"(28.881342, 78.581894)"
139,250777406762377,+91-9457614681,+91-935-557-2700,OUTGOING,2020-03-08 08:20:20,2020-03-08 08:29:14,"(28.696474, 78.660419)"
140,250777406762377,+91-9457614681,+91-855-538-2053,INCOMING,2020-01-19 01:08:54,2020-01-19 01:50:20,"(28.847369, 78.758552)"
141,604775855254246,+91-9457614681,+91-755-562-7393,OUTGOING,2020-03-19 20:15:42,2020-03-19 20:24:10,"(28.829659, 78.715692)"
142,456431013543810,+91-9457614681,+91-955-552-5033,INCOMING,2020-01-08 05:25:15,2020-01-08 06:17:57,"(28.881342, 78.581894)"
143,456431013543810,+91-9457614681,+91-755-561-0725,INCOMING,2020-02-04 21:54:02,2020-02-04 21:58:57,"(28.829659, 78.715692)"
144,456431013543810,+91-9457614681,+91-855-523-1067,OUTGOING,2020-01-24 08:03:41,2020-01-24 08:19:00,"(28.792365, 78.756622)"
145,456431013543810,+91-9457614681,+91-855-569-0253,INCOMING,2020-03-24 15:03:37,2020-03-24 15:11:39,"(28.847369, 78.758552)"
146,250777406762377,+91-9457614681,+91-915-557-2013,OUTGOING,2020-01-31 04:54:00,2020-01-31 05:49:05,"(28.847369, 78.758552)"
147,250777406762377,+91-9457614681,+91-905-559-4634,OUTGOING,2020-01-17 14:36:37,2020-01-17 14:51:53,"(28.696474, 78.660419)"
148,456431013543810,+91-9457614681,+91-935-550-6401,OUTGOING,2020-01-30 03:56:51,2020-01-30 04:39:55,"(28.792365, 78.756622)"
149,456431013543810,+91-9457614681,+91-755-592-7698,INCOMING,2020-02-21 15:24:49,2020-02-21 15:25:30,"(28.792365, 78.756622)"
150,604775855254246,+91-9457614681,+91-985-550-6742,OUTGOING,2020-02-26 00:23:08,2020-02-26 01:16:34,"(28.847369, 78.758552)"
151,604775855254246,+91-9457614681,+91-855-551-1010,OUTGOING,2020-02-09 10:34:19,2020-02-09 10:53:43,"(28.881342, 78.581894)"
152,250777406762377,+91-9457614681,+91-755-541-2295,OUTGOING,2020-02-25 21:35:06,2020-02-25 21:38:25,"(28.847369, 78.758552)"
153,250777406762377,+91-9457614681,+91-855-562-3450,OUTGOING,2020-03-10 01:14:33,2020-03-10 01:25:06,"(28.829659, 78.715692)"
154,604775855254246,+91-9457614681,+91-905-556-5719,OUTGOING,2020-02-29 04:17:40,2020-02-29 04:46:46,"(28.829659, 78.715692)"
155,604775855254246,+91-9457614681,+91-755-529-9384,OUTGOING,2020-03-23 15:56:33,2020-03-23 16:18:57,"(28.792365, 78.756622)"
156,250777406762377,+91-9457614681,+91-855-509-2252,OUTGOING,2020-01-30 13:55:31,2020-01-30 14:20:01,"(28.696474, 78.660419)"
157,456431013543810,+91-9457614681,+91-995-559-8991,INCOMING,2020-01-25 14:43:53,2020-01-25 14:57:09,"(28.696474, 78.660419)"
158,456431013543810,+91-9457614681,+91-855-538-2053,OUTGOING,2020-02-01 16:40:03,2020-02-01 17:13:16,"(28.847369, 78.758552)"
159,250777406762377,+91-9457614681,+91-975-556-7249,OUTGOING,2020-01-22 08:44:22,2020-01-22 09:19:37,"(28.696474, 78.660419)"
160,456431013543810,+91-9457614681,+91-855-591-4288,INCOMING,2020-01-15 10:15:37,2020-01-15 10:27:54,"(28.892516, 78.725159)"
161,604775855254246,+91-9457614681,+91-755-596-8126,INCOMING,2020-01-30 11:20:35,2020-01-30 11:25:30,"(28.696474, 78.660419)"
162,456431013543810,+91-9457614681,+91-755-562-7393,OUTGOING,2020-01-24 21:18:00,2020-01-24 21:30:45,"(28.892516, 78.725159)"
163,250777406762377,+91-9457614681,+91-925-558-1539,OUTGOING,2020-02-26 17:59:28,2020-02-26 18:21:57,"(28.881342, 78.581894)"
164,604775855254246,+91-9457614681,+91-855-562-3450,INCOMING,2020-03-17 19:59:29,2020-03-17 20:33:23,"(28.892516, 78.725159)"
165,604775855254246,+91-9457614681,+91-935-555-1034,OUTGOING,2020-02-09 15:45:58,2020-02-09 16:05:36,"(28.829659, 78.715692)"
166,456431013543810,+91-9457614681,+91-855-511-8075,OUTGOING,2020-01-27 00:54:08,2020-01-27 01:17:22,"(28.696474, 78.660419)"
167,456431013543810,+91-9457614681,+91-855-520-5448,INCOMING,2020-02-03 08:51:52,2020-02-03 09:08:37,"(28.847369, 78.758552)"
168,604775855254246,+91-9457614681,+91-915-557-2013,INCOMING,2020-02-25 07:03:10,2020-02-25 07:34:38,"(28.892516, 78.725159)"
169,456431013543810,+91-9457614681,+91-965-550-9287,INCOMING,2020-03-16 11:14:35,2020-03-16 12:11:26,"(28.696474, 78.660419)"
170,456431013543810,+91-9457614681,+91-755-527-3743,INCOMING,2020-01-29 10:58:44,2020-01-29 11:37:11,"(28.792365, 78.756622)"
171,250777406762377,+91-9457614681,+91-945-553-4219,OUTGOING,2020-01-05 02:39:02,2020-01-05 02:57:51,"(28.892516, 78.725159)"
172,250777406762377,+91-9457614681,+91-755-598-9232,OUTGOING,2020-02-26 20:12:48,2020-02-26 21:09:36,"(28.829659, 78.715692)"
173,456431013543810,+91-9457614681,+91-755-530-5666,INCOMING,2020-03-20 00:40:21,2020-03-20 00:49:04,"(28.892516, 78.725159)"
174,604775855254246,+91-9457614681,+91-855-538-8796,OUTGOING,2020-01-21 17:57:46,2020-01-21 18:38:50,"(28.847369, 78.758552)"
175,456431013543810,+91-9457614681,+91-985-550-6742,OUTGOING,2020-02-11 19:55:27,2020-02-11 19:56:07,"(28.881342, 78.581894)"
176,604775855254246,+91-9457614681,+91-855-579-8994,OUTGOING,2020-01-07 04:47:21,2020-01-07 05:11:31,"(28.881342, 78.581894)"
177,456431013543810,+91-9457614681,+91-755-517-4792,OUTGOING,2020-01-04 03:25:08,2020-01-04 04:09:25,"(28.696474, 78.660419)"
178,604775855254246,+91-9457614681,+91-855-538-1344,OUTGOING,2020-03-24 00:52:49,2020-03-24 01:40:11,"(28.847369, 78.758552)"
179,250777406762377,+91-9457614681,+91-855-553-2320,INCOMING,2020-02-23 21:41:35,2020-02-23 22:36:23,"(28.696474, 78.660419)"
180,604775855254246,+91-9457614681,+91-755-597-3583,INCOMING,2020-01-12 14:19:17,2020-01-12 14:32:14,"(28.892516, 78.725159)"
181,250777406762377,+91-9457614681,+91-855-591-9650,INCOMING,2020-01-03 13:00:53,2020-01-03 13:12:51,"(28.792365, 78.756622)"
182,604775855254246,+91-9457614681,+91-905-556-5719,OUTGOING,2020-03-15 04:27:49,2020-03-15 04:55:23,"(28.696474, 78.660419)"
183,604775855254246,+91-9457614681,+91-985-551-1051,OUTGOING,2020-01-03 22:57:12,2020-01-03 23:24:43,"(28.892516, 78.725159)"
184,250777406762377,+91-9457614681,+91-965-556-3594,OUTGOING,2020-01-29 22:29:45,2020-01-29 22:44:23,"(28.792365, 78.756622)"
185,456431013543810,+91-9457614681,+91-755-541-9099,OUTGOING,2020-01-19 07:45:28,2020-01-19 07:54:49,"(28.696474, 78.660419)"
186,456431013543810,+91-9457614681,+91-855-580-2868,OUTGOING,2020-03-13 21:04:30,2020-03-13 21:14:33,"(28.892516, 78.725159)"
187,250777406762377,+91-9457614681,+91-755-565-8423,OUTGOING,2020-02-12 08:53:53,2020-02-12 09:26:30,"(28.881342, 78.581894)"
188,250777406762377,+91-9457614681,+91-915-550-2853,INCOMING,2020-03-02 22:13:38,2020-03-02 23:10:55,"(28.881342, 78.581894)"
